id,date,price,sqft_living15,,,,,,,,,,,,,,,,sqft_living15
7129300520,,221900,221901,,,,,,,,,,,,,,,,
6414100192,,538000,1690,,,,,,,,,,,,,,,,
5631500400,,180000,2720,,,,,,,,,,,,,,,,
2487200875,,604000,1360,,,,,,,,,,,,,,,,
1954400510,,510000,1800,,,,,,,,,,,,,,,,
7237550310,,1.225e+006,4760,,,,,,,,,,,,,,,,
1321400060,,257500,2238,,,,,,,,,,,,,,,,
2008000270,,291850,1650,,,,,,,,,,,,,,,,
2414600126,,229500,1780,,,,,,,,,,,,,,,,
3793500160,,323000,2390,,,,,,,,,,,,,,,,
1736800520,,662500,2210,,,,,,,,,,,,,,,,
9212900260,,468000,1330,,,,,,,,,,,,,,,,
114101516,,310000,1780,,,,,,,,,,,,,,,,
6054650070,,400000,1370,,,,,,,,,,,,,,,,
1175000570,,530000,1360,,,,,,,,,,,,,,,,
9297300055,,650000,2140,,,,,,,,,,,,,,,,
1875500060,,395000,1890,,,,,,,,,,,,,,,,
6865200140,,485000,1610,,,,,,,,,,,,,,,,
16000397,,189000,1060,,,,,,,,,,,,,,,,
7983200060,,230000,1280,,,,,,,,,,,,,,,,
6300500875,,385000,1400,,,,,,,,,,,,,,,,
2524049179,,2000000,4110,,,,,,,,,,,,,,,,
7137970340,,285000,2240,,,,,,,,,,,,,,,,
8091400200,,252700,1220,,,,,,,,,,,,,,,,
3814700200,,329000,2200,,,,,,,,,,,,,,,,
1202000200,,233000,1030,,,,,,,,,,,,,,,,
1794500383,,937000,1760,,,,,,,,,,,,,,,,
3303700376,,667000,1860,,,,,,,,,,,,,,,,
5101402488,,438000,1520,,,,,,,,,,,,,,,,
1873100390,,719000,2630,,,,,,,,,,,,,,,,
8562750320,,580500,2580,,,,,,,,,,,,,,,,
2426039314,,280000,1390,,,,,,,,,,,,,,,,
461000390,,687500,1460,,,,,,,,,,,,,,,,
7589200193,,535000,1570,,,,,,,,,,,,,,,,
7955080270,,322500,2020,,,,,,,,,,,,,,,,
9547205180,,696000,1590,,,,,,,,,,,,,,,,
9435300030,,550000,2160,,,,,,,,,,,,,,,,
2768000400,,640000,1730,,,,,,,,,,,,,,,,
7895500070,,240000,1290,,,,,,,,,,,,,,,,
2078500320,,605000,2620,,,,,,,,,,,,,,,,
5547700270,,625000,2470,,,,,,,,,,,,,,,,
7766200013,,775000,2410,,,,,,,,,,,,,,,,
7203220400,,861990,3625,,,,,,,,,,,,,,,,
9270200160,,685000,1580,,,,,,,,,,,,,,,,
1432701230,,309000,1340,,,,,,,,,,,,,,,,
8035350320,,488000,3050,,,,,,,,,,,,,,,,
8945200830,,210490,1228,,,,,,,,,,,,,,,,
4178300310,,785000,2680,,,,,,,,,,,,,,,,
9215400105,,450000,970,,,,,,,,,,,,,,,,
822039084,,1.35e+006,2680,,,,,,,,,,,,,,,,
5245600105,,228000,1190,,,,,,,,,,,,,,,,
7231300125,,345000,1990,,,,,,,,,,,,,,,,
7518505990,,600000,1410,,,,,,,,,,,,,,,,
3626039271,,585000,1480,,,,,,,,,,,,,,,,
4217401195,,920000,2730,,,,,,,,,,,,,,,,
9822700295,,885000,1950,,,,,,,,,,,,,,,,
9478500640,,292500,2250,,,,,,,,,,,,,,,,
2799800710,,301000,2690,,,,,,,,,,,,,,,,
7922800400,,951000,2960,,,,,,,,,,,,,,,,
8079040320,,430000,2270,,,,,,,,,,,,,,,,
1516000055,,650000,2570,,,,,,,,,,,,,,,,
9558200045,,289000,1290,,,,,,,,,,,,,,,,
5072410070,,505000,2500,,,,,,,,,,,,,,,,
9528102996,,549000,1580,,,,,,,,,,,,,,,,
1189001180,,425000,1440,,,,,,,,,,,,,,,,
3253500160,,317625,1440,,,,,,,,,,,,,,,,
3394100030,,975000,2750,,,,,,,,,,,,,,,,
3717000160,,287000,2221,,,,,,,,,,,,,,,,
1274500060,,204000,1010,,,,,,,,,,,,,,,,
1802000060,,1.325e+006,3390,,,,,,,,,,,,,,,,
1525059190,,1.04e+006,3530,,,,,,,,,,,,,,,,
1049000060,,325000,1640,,,,,,,,,,,,,,,,
8820901275,,571000,1510,,,,,,,,,,,,,,,,
5416510140,,360000,2420,,,,,,,,,,,,,,,,
3444100400,,349000,1940,,,,,,,,,,,,,,,,
3276920270,,832500,3240,,,,,,,,,,,,,,,,
4036801170,,380000,1680,,,,,,,,,,,,,,,,
2391600320,,480000,890,,,,,,,,,,,,,,,,
6300000287,,410000,1130,,,,,,,,,,,,,,,,
1531000030,,720000,3350,,,,,,,,,,,,,,,,
5104520400,,390000,2350,,,,,,,,,,,,,,,,
7437100340,,360000,1870,,,,,,,,,,,,,,,,
9418400240,,355000,1720,,,,,,,,,,,,,,,,
1523059105,,356000,1850,,,,,,,,,,,,,,,,
1133000671,,315000,1570,,,,,,,,,,,,,,,,
4232902595,,940000,2020,,,,,,,,,,,,,,,,
2599001200,,305000,1590,,,,,,,,,,,,,,,,
3342103156,,461000,1900,,,,,,,,,,,,,,,,
1332700270,,215000,1950,,,,,,,,,,,,,,,,
3869900162,,335000,1030,,,,,,,,,,,,,,,,
2791500270,,243500,1980,,,,,,,,,,,,,,,,
5036300431,,1.09988e+006,2520,,,,,,,,,,,,,,,,
4168000060,,153000,1350,,,,,,,,,,,,,,,,
6021501535,,430000,1570,,,,,,,,,,,,,,,,
6021501535,,700000,1570,,,,,,,,,,,,,,,,
1483300570,,905000,1950,,,,,,,,,,,,,,,,
3422049190,,247500,1750,,,,,,,,,,,,,,,,
1099611230,,199000,1160,,,,,,,,,,,,,,,,
722079104,,314000,1650,,,,,,,,,,,,,,,,
7338200240,,437500,2550,,,,,,,,,,,,,,,,
1952200240,,850830,2200,,,,,,,,,,,,,,,,
5200100125,,555000,1610,,,,,,,,,,,,,,,,
7214720075,,699950,2570,,,,,,,,,,,,,,,,
2450000295,,1.088e+006,2370,,,,,,,,,,,,,,,,
6197800045,,290000,1640,,,,,,,,,,,,,,,,
1328310370,,375000,2250,,,,,,,,,,,,,,,,
546000875,,460000,1240,,,,,,,,,,,,,,,,
3530510041,,188500,1270,,,,,,,,,,,,,,,,
1853000400,,680000,2990,,,,,,,,,,,,,,,,
3134100116,,470000,2500,,,,,,,,,,,,,,,,
9545230140,,597750,1940,,,,,,,,,,,,,,,,
3362400511,,570000,1380,,,,,,,,,,,,,,,,
2525310310,,272500,1540,,,,,,,,,,,,,,,,
6126500060,,329950,2090,,,,,,,,,,,,,,,,
8961960160,,480000,2640,,,,,,,,,,,,,,,,
3626039325,,740500,1830,,,,,,,,,,,,,,,,
3362400431,,518500,1620,,,,,,,,,,,,,,,,
4060000240,,205425,1190,,,,,,,,,,,,,,,,
3454800060,,171800,1880,,,,,,,,,,,,,,,,
1695900060,,535000,1610,,,,,,,,,,,,,,,,
7278700070,,660000,2340,,,,,,,,,,,,,,,,
6675500070,,391500,1580,,,,,,,,,,,,,,,,
3626039187,,395000,1710,,,,,,,,,,,,,,,,
3524049083,,445000,1850,,,,,,,,,,,,,,,,
3275860240,,770000,2700,,,,,,,,,,,,,,,,
4389200955,,1.45e+006,3060,,,,,,,,,,,,,,,,
4058801670,,445000,2660,,,,,,,,,,,,,,,,
8732020310,,260000,2090,,,,,,,,,,,,,,,,
2331300505,,822500,1700,,,,,,,,,,,,,,,,
7853210060,,430000,1970,,,,,,,,,,,,,,,,
3668000070,,212000,1420,,,,,,,,,,,,,,,,
9545240070,,660500,2060,,,,,,,,,,,,,,,,
1243100136,,784000,2480,,,,,,,,,,,,,,,,
8929000270,,453246,1690,,,,,,,,,,,,,,,,
2767602356,,675000,1540,,,,,,,,,,,,,,,,
921049315,,199000,1550,,,,,,,,,,,,,,,,
3655000070,,220000,1750,,,,,,,,,,,,,,,,
4027700812,,452000,1550,,,,,,,,,,,,,,,,
3992700335,,382500,1060,,,,,,,,,,,,,,,,
2767603505,,519950,1350,,,,,,,,,,,,,,,,
4232901525,,665000,1170,,,,,,,,,,,,,,,,
1777500060,,527700,2820,,,,,,,,,,,,,,,,
1432900240,,205000,1610,,,,,,,,,,,,,,,,
6140100875,,420000,1560,,,,,,,,,,,,,,,,
6071600370,,500000,2230,,,,,,,,,,,,,,,,
1526069017,,921500,2840,,,,,,,,,,,,,,,,
809001525,,890000,2200,,,,,,,,,,,,,,,,
3224079105,,430000,1940,,,,,,,,,,,,,,,,
8075400570,,258000,1360,,,,,,,,,,,,,,,,
1994200024,,511000,1450,,,,,,,,,,,,,,,,
3362900810,,532170,1500,,,,,,,,,,,,,,,,
1324300398,,560000,1420,,,,,,,,,,,,,,,,
537000445,,282950,1680,,,,,,,,,,,,,,,,
7855801670,,2.25e+006,3160,,,,,,,,,,,,,,,,
7920100045,,350000,1010,,,,,,,,,,,,,,,,
8960000030,,215000,1190,,,,,,,,,,,,,,,,
6388930390,,650000,2640,,,,,,,,,,,,,,,,
8731900200,,320000,1980,,,,,,,,,,,,,,,,
8029200135,,247000,1160,,,,,,,,,,,,,,,,
1081200350,,320000,1730,,,,,,,,,,,,,,,,
84000105,,255000,1010,,,,,,,,,,,,,,,,
3756500060,,438000,1200,,,,,,,,,,,,,,,,
7215720160,,900000,3400,,,,,,,,,,,,,,,,
3574800520,,441000,1710,,,,,,,,,,,,,,,,
2617300160,,420000,2110,,,,,,,,,,,,,,,,
2558660270,,370000,1640,,,,,,,,,,,,,,,,
2009000370,,269950,1830,,,,,,,,,,,,,,,,
1836980160,,807100,2920,,,,,,,,,,,,,,,,
3261020370,,653000,2480,,,,,,,,,,,,,,,,
1755700060,,371500,1770,,,,,,,,,,,,,,,,
4330600435,,284000,1070,,,,,,,,,,,,,,,,
9542800700,,272000,1930,,,,,,,,,,,,,,,,
1999700045,,313000,1480,,,,,,,,,,,,,,,,
1762600070,,917500,3740,,,,,,,,,,,,,,,,
1687900520,,673000,2260,,,,,,,,,,,,,,,,
7234600798,,425000,1590,,,,,,,,,,,,,,,,
3881900445,,399950,1280,,,,,,,,,,,,,,,,
2254502445,,385000,1200,,,,,,,,,,,,,,,,
5437810320,,269950,1950,,,,,,,,,,,,,,,,
9158100075,,330000,1540,,,,,,,,,,,,,,,,
3830630310,,260000,1670,,,,,,,,,,,,,,,,
8123100045,,470000,1410,,,,,,,,,,,,,,,,
3127200041,,589000,2290,,,,,,,,,,,,,,,,
6661200320,,163500,1050,,,,,,,,,,,,,,,,
11510310,,835000,2260,,,,,,,,,,,,,,,,
825059270,,1.095e+006,2540,,,,,,,,,,,,,,,,
8731951370,,269000,2190,,,,,,,,,,,,,,,,
1954440060,,560000,2030,,,,,,,,,,,,,,,,
2264500350,,615000,1330,,,,,,,,,,,,,,,,
1115810060,,585188,2230,,,,,,,,,,,,,,,,
9477200200,,305000,1540,,,,,,,,,,,,,,,,
1432600560,,166950,1230,,,,,,,,,,,,,,,,
2287000060,,799000,2680,,,,,,,,,,,,,,,,
3663500060,,400000,1900,,,,,,,,,,,,,,,,
3996900125,,230000,1570,,,,,,,,,,,,,,,,
7796450200,,256883,2550,,,,,,,,,,,,,,,,
7549802535,,423000,1500,,,,,,,,,,,,,,,,
3278600320,,465000,1750,,,,,,,,,,,,,,,,
2824079053,,440000,2330,,,,,,,,,,,,,,,,
1222069094,,385000,1560,,,,,,,,,,,,,,,,
3542300060,,210000,1300,,,,,,,,,,,,,,,,
2222059065,,297000,2030,,,,,,,,,,,,,,,,
7551300060,,470000,1680,,,,,,,,,,,,,,,,
100600550,,226500,1430,,,,,,,,,,,,,,,,
3211100860,,274250,1400,,,,,,,,,,,,,,,,
3456000310,,840000,2770,,,,,,,,,,,,,,,,
9526600140,,677900,2750,,,,,,,,,,,,,,,,
7465900060,,425000,1290,,,,,,,,,,,,,,,,
1222000055,,180250,1250,,,,,,,,,,,,,,,,
6300000550,,464000,1560,,,,,,,,,,,,,,,,
2310030510,,320000,1630,,,,,,,,,,,,,,,,
1025049114,,625504,1160,,,,,,,,,,,,,,,,
8677300550,,592500,2520,,,,,,,,,,,,,,,,
4014400292,,465000,2590,,,,,,,,,,,,,,,,
1102000196,,477000,2130,,,,,,,,,,,,,,,,
257000138,,280000,1100,,,,,,,,,,,,,,,,
46100204,,1.505e+006,3836,,,,,,,,,,,,,,,,
1909600046,,445838,1320,,,,,,,,,,,,,,,,
1250202145,,1.072e+006,2580,,,,,,,,,,,,,,,,
7611200125,,467000,2120,,,,,,,,,,,,,,,,
5611500140,,686000,3070,,,,,,,,,,,,,,,,
7138000260,,279950,1900,,,,,,,,,,,,,,,,
626059335,,527000,1910,,,,,,,,,,,,,,,,
1922059282,,325000,2080,,,,,,,,,,,,,,,,
705700390,,328000,2020,,,,,,,,,,,,,,,,
7454001200,,390000,1280,,,,,,,,,,,,,,,,
8682281200,,479950,1640,,,,,,,,,,,,,,,,
7972000200,,264950,1510,,,,,,,,,,,,,,,,
722059070,,235000,1960,,,,,,,,,,,,,,,,
7202340400,,516500,2250,,,,,,,,,,,,,,,,
8096000060,,655000,2030,,,,,,,,,,,,,,,,
2424000060,,500000,2280,,,,,,,,,,,,,,,,
9264902050,,315000,2120,,,,,,,,,,,,,,,,
943100260,,213000,1150,,,,,,,,,,,,,,,,
3677400445,,475000,2090,,,,,,,,,,,,,,,,
1762600320,,1.025e+006,3430,,,,,,,,,,,,,,,,
4058000060,,416000,2070,,,,,,,,,,,,,,,,
7228500560,,410000,1510,,,,,,,,,,,,,,,,
326069104,,800000,2920,,,,,,,,,,,,,,,,
5152100060,,472000,2600,,,,,,,,,,,,,,,,
3584000310,,225000,1190,,,,,,,,,,,,,,,,
8150100045,,210000,830,,,,,,,,,,,,,,,,
1868901275,,455000,1450,,,,,,,,,,,,,,,,
6131600075,,225000,1260,,,,,,,,,,,,,,,,
9468200125,,480000,1390,,,,,,,,,,,,,,,,
8029510030,,363000,2570,,,,,,,,,,,,,,,,
2025069065,,2.4e+006,3120,,,,,,,,,,,,,,,,
7899800890,,181000,1150,,,,,,,,,,,,,,,,
3021059276,,250000,2010,,,,,,,,,,,,,,,,
3797001895,,481000,1390,,,,,,,,,,,,,,,,
3832710960,,260000,1750,,,,,,,,,,,,,,,,
1310430400,,455000,3060,,,,,,,,,,,,,,,,
1422300030,,415000,1730,,,,,,,,,,,,,,,,
1105000588,,349500,1620,,,,,,,,,,,,,,,,
3830630060,,245000,1630,,,,,,,,,,,,,,,,
5101404898,,592500,1420,,,,,,,,,,,,,,,,
7972601890,,385000,1910,,,,,,,,,,,,,,,,
5127001620,,315000,1550,,,,,,,,,,,,,,,,
9407100800,,255000,1380,,,,,,,,,,,,,,,,
1873100060,,693000,2990,,,,,,,,,,,,,,,,
8722101360,,780000,1660,,,,,,,,,,,,,,,,
8644000060,,237000,1600,,,,,,,,,,,,,,,,
3325069129,,525000,2380,,,,,,,,,,,,,,,,
1400300055,,425000,1330,,,,,,,,,,,,,,,,
2123039032,,369900,1230,,,,,,,,,,,,,,,,
